seed,N_from,N_to,N,tolerance,match_rate
0,10,20,20,1,38.92857142857143
0,10,20,20,2,46.42857142857143
0,10,20,20,3,46.42857142857143
0,20,30,30,1,47.85714285714286
0,20,30,30,2,58.214285714285715
0,20,30,30,3,58.214285714285715
0,30,50,50,1,51.42857142857142
0,30,50,50,2,62.857142857142854
0,30,50,50,3,62.857142857142854
0,50,100,100,1,49.642857142857146
0,50,100,100,2,65.0
0,50,100,100,3,65.0
0,100,150,150,1,63.57142857142857
0,100,150,150,2,73.21428571428571
0,100,150,150,3,73.21428571428571
0,150,200,200,1,67.85714285714286
0,150,200,200,2,80.35714285714286
0,150,200,200,3,80.35714285714286
0,200,250,250,1,70.71428571428572
0,200,250,250,2,80.0
0,200,250,250,3,80.0
0,250,300,300,1,77.14285714285715
0,250,300,300,2,85.71428571428571
0,250,300,300,3,85.71428571428571
1,10,20,20,1,35.0
1,10,20,20,2,47.14285714285714
1,10,20,20,3,47.14285714285714
1,20,30,30,1,56.42857142857143
1,20,30,30,2,65.0
1,20,30,30,3,65.0
1,30,50,50,1,49.642857142857146
1,30,50,50,2,60.71428571428571
1,30,50,50,3,60.71428571428571
1,50,100,100,1,50.357142857142854
1,50,100,100,2,65.35714285714286
1,50,100,100,3,65.35714285714286
1,100,150,150,1,59.64285714285714
1,100,150,150,2,74.28571428571429
1,100,150,150,3,74.28571428571429
1,150,200,200,1,67.14285714285714
1,150,200,200,2,77.85714285714286
1,150,200,200,3,77.85714285714286
1,200,250,250,1,72.85714285714285
1,200,250,250,2,81.42857142857143
1,200,250,250,3,81.42857142857143
1,250,300,300,1,76.07142857142857
1,250,300,300,2,82.14285714285714
1,250,300,300,3,82.14285714285714
2,10,20,20,1,30.714285714285715
2,10,20,20,2,41.07142857142857
2,10,20,20,3,41.07142857142857
2,20,30,30,1,49.642857142857146
2,20,30,30,2,59.64285714285714
2,20,30,30,3,59.64285714285714
2,30,50,50,1,51.42857142857142
2,30,50,50,2,63.21428571428571
2,30,50,50,3,63.21428571428571
2,50,100,100,1,51.07142857142857
2,50,100,100,2,65.71428571428571
2,50,100,100,3,65.71428571428571
2,100,150,150,1,59.64285714285714
2,100,150,150,2,74.64285714285714
2,100,150,150,3,74.64285714285714
2,150,200,200,1,70.35714285714286
2,150,200,200,2,82.5
2,150,200,200,3,82.5
2,200,250,250,1,68.92857142857143
2,200,250,250,2,84.28571428571429
2,200,250,250,3,84.28571428571429
2,250,300,300,1,78.92857142857143
2,250,300,300,2,88.57142857142857
2,250,300,300,3,88.57142857142857
3,10,20,20,1,41.785714285714285
3,10,20,20,2,50.71428571428571
3,10,20,20,3,50.71428571428571
3,20,30,30,1,53.214285714285715
3,20,30,30,2,65.35714285714286
3,20,30,30,3,65.35714285714286
3,30,50,50,1,47.85714285714286
3,30,50,50,2,59.285714285714285
3,30,50,50,3,59.285714285714285
3,50,100,100,1,44.642857142857146
3,50,100,100,2,61.78571428571429
3,50,100,100,3,61.78571428571429
3,100,150,150,1,59.64285714285714
3,100,150,150,2,71.78571428571429
3,100,150,150,3,71.78571428571429
3,150,200,200,1,67.14285714285714
3,150,200,200,2,78.92857142857143
3,150,200,200,3,78.92857142857143
3,200,250,250,1,72.14285714285714
3,200,250,250,2,82.85714285714286
3,200,250,250,3,82.85714285714286
3,250,300,300,1,76.07142857142857
3,250,300,300,2,87.5
3,250,300,300,3,87.5
4,10,20,20,1,35.714285714285715
4,10,20,20,2,46.42857142857143
4,10,20,20,3,46.42857142857143
4,20,30,30,1,52.85714285714286
4,20,30,30,2,62.5
4,20,30,30,3,62.5
4,30,50,50,1,49.642857142857146
4,30,50,50,2,62.142857142857146
4,30,50,50,3,62.142857142857146
4,50,100,100,1,42.142857142857146
4,50,100,100,2,58.57142857142858
4,50,100,100,3,58.57142857142858
4,100,150,150,1,58.57142857142858
4,100,150,150,2,72.14285714285714
4,100,150,150,3,72.14285714285714
4,150,200,200,1,66.07142857142857
4,150,200,200,2,77.5
4,150,200,200,3,77.5
4,200,250,250,1,72.85714285714285
4,200,250,250,2,81.07142857142857
4,200,250,250,3,81.07142857142857
4,250,300,300,1,67.14285714285714
4,250,300,300,2,79.64285714285714
4,250,300,300,3,79.64285714285714
5,10,20,20,1,36.42857142857142
5,10,20,20,2,49.642857142857146
5,10,20,20,3,49.642857142857146
5,20,30,30,1,51.07142857142857
5,20,30,30,2,60.71428571428571
5,20,30,30,3,60.71428571428571
5,30,50,50,1,46.785714285714285
5,30,50,50,2,61.78571428571429
5,30,50,50,3,61.78571428571429
5,50,100,100,1,47.14285714285714
5,50,100,100,2,63.21428571428571
5,50,100,100,3,63.21428571428571
5,100,150,150,1,61.78571428571429
5,100,150,150,2,73.92857142857143
5,100,150,150,3,73.92857142857143
5,150,200,200,1,63.92857142857142
5,150,200,200,2,76.07142857142857
5,150,200,200,3,76.07142857142857
5,200,250,250,1,67.85714285714286
5,200,250,250,2,79.28571428571428
5,200,250,250,3,79.28571428571428
5,250,300,300,1,71.42857142857143
5,250,300,300,2,83.21428571428572
5,250,300,300,3,83.21428571428572
6,10,20,20,1,34.285714285714285
6,10,20,20,2,45.0
6,10,20,20,3,45.0
6,20,30,30,1,52.142857142857146
6,20,30,30,2,62.5
6,20,30,30,3,62.5
6,30,50,50,1,50.71428571428571
6,30,50,50,2,63.92857142857142
6,30,50,50,3,63.92857142857142
6,50,100,100,1,45.714285714285715
6,50,100,100,2,63.57142857142857
6,50,100,100,3,63.57142857142857
6,100,150,150,1,65.0
6,100,150,150,2,75.71428571428571
6,100,150,150,3,75.71428571428571
6,150,200,200,1,69.28571428571428
6,150,200,200,2,81.07142857142857
6,150,200,200,3,81.07142857142857
6,200,250,250,1,73.57142857142858
6,200,250,250,2,81.07142857142857
6,200,250,250,3,81.07142857142857
6,250,300,300,1,80.35714285714286
6,250,300,300,2,86.42857142857143
6,250,300,300,3,86.42857142857143
7,10,20,20,1,37.142857142857146
7,10,20,20,2,51.42857142857142
7,10,20,20,3,51.42857142857142
7,20,30,30,1,52.5
7,20,30,30,2,61.07142857142858
7,20,30,30,3,61.07142857142858
7,30,50,50,1,51.42857142857142
7,30,50,50,2,61.07142857142858
7,30,50,50,3,61.07142857142858
7,50,100,100,1,46.785714285714285
7,50,100,100,2,67.5
7,50,100,100,3,67.5
7,100,150,150,1,56.785714285714285
7,100,150,150,2,70.0
7,100,150,150,3,70.0
7,150,200,200,1,63.21428571428571
7,150,200,200,2,76.07142857142857
7,150,200,200,3,76.07142857142857
7,200,250,250,1,75.71428571428571
7,200,250,250,2,84.28571428571429
7,200,250,250,3,84.28571428571429
7,250,300,300,1,72.5
7,250,300,300,2,83.57142857142857
7,250,300,300,3,83.57142857142857
8,10,20,20,1,36.07142857142857
8,10,20,20,2,44.285714285714285
8,10,20,20,3,44.285714285714285
8,20,30,30,1,51.78571428571429
8,20,30,30,2,62.5
8,20,30,30,3,62.5
8,30,50,50,1,46.42857142857143
8,30,50,50,2,57.49999999999999
8,30,50,50,3,57.49999999999999
8,50,100,100,1,40.0
8,50,100,100,2,55.714285714285715
8,50,100,100,3,55.714285714285715
8,100,150,150,1,60.0
8,100,150,150,2,73.57142857142858
8,100,150,150,3,73.57142857142858
8,150,200,200,1,69.28571428571428
8,150,200,200,2,80.71428571428572
8,150,200,200,3,80.71428571428572
8,200,250,250,1,72.5
8,200,250,250,2,82.85714285714286
8,200,250,250,3,82.85714285714286
8,250,300,300,1,75.0
8,250,300,300,2,85.35714285714285
8,250,300,300,3,85.35714285714285
9,10,20,20,1,34.64285714285714
9,10,20,20,2,44.642857142857146
9,10,20,20,3,44.642857142857146
9,20,30,30,1,46.785714285714285
9,20,30,30,2,58.57142857142858
9,20,30,30,3,58.57142857142858
9,30,50,50,1,50.357142857142854
9,30,50,50,2,62.142857142857146
9,30,50,50,3,62.142857142857146
9,50,100,100,1,50.0
9,50,100,100,2,65.35714285714286
9,50,100,100,3,65.35714285714286
9,100,150,150,1,61.07142857142858
9,100,150,150,2,72.85714285714285
9,100,150,150,3,72.85714285714285
9,150,200,200,1,67.5
9,150,200,200,2,77.85714285714286
9,150,200,200,3,77.85714285714286
9,200,250,250,1,73.21428571428571
9,200,250,250,2,84.64285714285714
9,200,250,250,3,84.64285714285714
9,250,300,300,1,74.28571428571429
9,250,300,300,2,84.64285714285714
9,250,300,300,3,84.64285714285714
10,10,20,20,1,38.21428571428571
10,10,20,20,2,47.85714285714286
10,10,20,20,3,47.85714285714286
10,20,30,30,1,45.714285714285715
10,20,30,30,2,56.785714285714285
10,20,30,30,3,56.785714285714285
10,30,50,50,1,50.357142857142854
10,30,50,50,2,61.07142857142858
10,30,50,50,3,61.07142857142858
10,50,100,100,1,46.42857142857143
10,50,100,100,2,59.285714285714285
10,50,100,100,3,59.285714285714285
10,100,150,150,1,60.71428571428571
10,100,150,150,2,73.57142857142858
10,100,150,150,3,73.57142857142858
10,150,200,200,1,72.14285714285714
10,150,200,200,2,82.14285714285714
10,150,200,200,3,82.14285714285714
10,200,250,250,1,76.42857142857142
10,200,250,250,2,83.57142857142857
10,200,250,250,3,83.57142857142857
10,250,300,300,1,77.85714285714286
10,250,300,300,2,85.71428571428571
10,250,300,300,3,85.71428571428571
11,10,20,20,1,32.5
11,10,20,20,2,44.642857142857146
11,10,20,20,3,44.642857142857146
11,20,30,30,1,49.642857142857146
11,20,30,30,2,63.57142857142857
11,20,30,30,3,63.57142857142857
11,30,50,50,1,52.85714285714286
11,30,50,50,2,66.07142857142857
11,30,50,50,3,66.07142857142857
11,50,100,100,1,51.78571428571429
11,50,100,100,2,64.28571428571429
11,50,100,100,3,64.28571428571429
11,100,150,150,1,61.07142857142858
11,100,150,150,2,72.5
11,100,150,150,3,72.5
11,150,200,200,1,70.0
11,150,200,200,2,80.71428571428572
11,150,200,200,3,80.71428571428572
11,200,250,250,1,73.57142857142858
11,200,250,250,2,84.28571428571429
11,200,250,250,3,84.28571428571429
11,250,300,300,1,77.5
11,250,300,300,2,87.5
11,250,300,300,3,87.5
12,10,20,20,1,40.714285714285715
12,10,20,20,2,50.357142857142854
12,10,20,20,3,50.357142857142854
12,20,30,30,1,52.142857142857146
12,20,30,30,2,60.71428571428571
12,20,30,30,3,60.71428571428571
12,30,50,50,1,49.28571428571429
12,30,50,50,2,60.71428571428571
12,30,50,50,3,60.71428571428571
12,50,100,100,1,44.642857142857146
12,50,100,100,2,55.35714285714286
12,50,100,100,3,55.35714285714286
12,100,150,150,1,56.07142857142857
12,100,150,150,2,72.85714285714285
12,100,150,150,3,72.85714285714285
12,150,200,200,1,72.85714285714285
12,150,200,200,2,84.64285714285714
12,150,200,200,3,84.64285714285714
12,200,250,250,1,77.14285714285715
12,200,250,250,2,87.5
12,200,250,250,3,87.5
12,250,300,300,1,76.42857142857142
12,250,300,300,2,83.57142857142857
12,250,300,300,3,83.57142857142857
13,10,20,20,1,37.142857142857146
13,10,20,20,2,46.42857142857143
13,10,20,20,3,46.42857142857143
13,20,30,30,1,50.71428571428571
13,20,30,30,2,59.285714285714285
13,20,30,30,3,59.285714285714285
13,30,50,50,1,50.357142857142854
13,30,50,50,2,65.0
13,30,50,50,3,65.0
13,50,100,100,1,44.285714285714285
13,50,100,100,2,58.214285714285715
13,50,100,100,3,58.214285714285715
13,100,150,150,1,63.21428571428571
13,100,150,150,2,76.78571428571429
13,100,150,150,3,76.78571428571429
13,150,200,200,1,63.21428571428571
13,150,200,200,2,75.0
13,150,200,200,3,75.0
13,200,250,250,1,71.42857142857143
13,200,250,250,2,78.57142857142857
13,200,250,250,3,78.57142857142857
13,250,300,300,1,76.07142857142857
13,250,300,300,2,87.14285714285714
13,250,300,300,3,87.14285714285714
14,10,20,20,1,36.42857142857142
14,10,20,20,2,47.14285714285714
14,10,20,20,3,47.14285714285714
14,20,30,30,1,45.357142857142854
14,20,30,30,2,53.57142857142857
14,20,30,30,3,53.57142857142857
14,30,50,50,1,49.28571428571429
14,30,50,50,2,61.07142857142858
14,30,50,50,3,61.07142857142858
14,50,100,100,1,46.785714285714285
14,50,100,100,2,58.92857142857143
14,50,100,100,3,58.92857142857143
14,100,150,150,1,56.785714285714285
14,100,150,150,2,71.07142857142857
14,100,150,150,3,71.07142857142857
14,150,200,200,1,68.57142857142857
14,150,200,200,2,81.07142857142857
14,150,200,200,3,81.07142857142857
14,200,250,250,1,72.85714285714285
14,200,250,250,2,84.64285714285714
14,200,250,250,3,84.64285714285714
14,250,300,300,1,72.5
14,250,300,300,2,85.71428571428571
14,250,300,300,3,85.71428571428571
15,10,20,20,1,33.214285714285715
15,10,20,20,2,42.142857142857146
15,10,20,20,3,42.142857142857146
15,20,30,30,1,43.57142857142857
15,20,30,30,2,55.00000000000001
15,20,30,30,3,55.00000000000001
15,30,50,50,1,45.0
15,30,50,50,2,57.49999999999999
15,30,50,50,3,57.49999999999999
15,50,100,100,1,43.214285714285715
15,50,100,100,2,56.07142857142857
15,50,100,100,3,56.07142857142857
15,100,150,150,1,57.85714285714286
15,100,150,150,2,70.0
15,100,150,150,3,70.0
15,150,200,200,1,68.57142857142857
15,150,200,200,2,80.71428571428572
15,150,200,200,3,80.71428571428572
15,200,250,250,1,72.85714285714285
15,200,250,250,2,82.85714285714286
15,200,250,250,3,82.85714285714286
15,250,300,300,1,70.35714285714286
15,250,300,300,2,81.42857142857143
15,250,300,300,3,81.42857142857143
16,10,20,20,1,35.0
16,10,20,20,2,45.0
16,10,20,20,3,45.0
16,20,30,30,1,52.142857142857146
16,20,30,30,2,61.78571428571429
16,20,30,30,3,61.78571428571429
16,30,50,50,1,51.78571428571429
16,30,50,50,2,61.07142857142858
16,30,50,50,3,61.07142857142858
16,50,100,100,1,47.5
16,50,100,100,2,62.5
16,50,100,100,3,62.5
16,100,150,150,1,63.92857142857142
16,100,150,150,2,77.5
16,100,150,150,3,77.5
16,150,200,200,1,64.64285714285715
16,150,200,200,2,77.14285714285715
16,150,200,200,3,77.14285714285715
16,200,250,250,1,75.35714285714286
16,200,250,250,2,84.64285714285714
16,200,250,250,3,84.64285714285714
16,250,300,300,1,69.64285714285714
16,250,300,300,2,85.35714285714285
16,250,300,300,3,85.35714285714285
17,10,20,20,1,35.35714285714286
17,10,20,20,2,45.0
17,10,20,20,3,45.0
17,20,30,30,1,55.714285714285715
17,20,30,30,2,62.5
17,20,30,30,3,62.5
17,30,50,50,1,51.42857142857142
17,30,50,50,2,62.857142857142854
17,30,50,50,3,62.857142857142854
17,50,100,100,1,46.07142857142857
17,50,100,100,2,62.142857142857146
17,50,100,100,3,62.142857142857146
17,100,150,150,1,57.49999999999999
17,100,150,150,2,71.78571428571429
17,100,150,150,3,71.78571428571429
17,150,200,200,1,61.42857142857143
17,150,200,200,2,75.35714285714286
17,150,200,200,3,75.35714285714286
17,200,250,250,1,67.14285714285714
17,200,250,250,2,82.5
17,200,250,250,3,82.5
17,250,300,300,1,76.07142857142857
17,250,300,300,2,85.0
17,250,300,300,3,85.0
18,10,20,20,1,36.78571428571429
18,10,20,20,2,43.214285714285715
18,10,20,20,3,43.214285714285715
18,20,30,30,1,51.07142857142857
18,20,30,30,2,58.92857142857143
18,20,30,30,3,58.92857142857143
18,30,50,50,1,55.35714285714286
18,30,50,50,2,68.21428571428572
18,30,50,50,3,68.21428571428572
18,50,100,100,1,47.5
18,50,100,100,2,62.142857142857146
18,50,100,100,3,62.142857142857146
18,100,150,150,1,61.42857142857143
18,100,150,150,2,72.14285714285714
18,100,150,150,3,72.14285714285714
18,150,200,200,1,68.57142857142857
18,150,200,200,2,78.92857142857143
18,150,200,200,3,78.92857142857143
18,200,250,250,1,67.14285714285714
18,200,250,250,2,77.85714285714286
18,200,250,250,3,77.85714285714286
18,250,300,300,1,73.21428571428571
18,250,300,300,2,83.57142857142857
18,250,300,300,3,83.57142857142857
19,10,20,20,1,39.285714285714285
19,10,20,20,2,48.57142857142857
19,10,20,20,3,48.57142857142857
19,20,30,30,1,57.85714285714286
19,20,30,30,2,66.78571428571428
19,20,30,30,3,66.78571428571428
19,30,50,50,1,46.07142857142857
19,30,50,50,2,59.64285714285714
19,30,50,50,3,59.64285714285714
19,50,100,100,1,53.57142857142857
19,50,100,100,2,67.5
19,50,100,100,3,67.5
19,100,150,150,1,56.07142857142857
19,100,150,150,2,71.78571428571429
19,100,150,150,3,71.78571428571429
19,150,200,200,1,71.07142857142857
19,150,200,200,2,84.28571428571429
19,150,200,200,3,84.28571428571429
19,200,250,250,1,72.85714285714285
19,200,250,250,2,86.07142857142858
19,200,250,250,3,86.07142857142858
19,250,300,300,1,77.5
19,250,300,300,2,85.35714285714285
19,250,300,300,3,85.35714285714285
20,10,20,20,1,35.0
20,10,20,20,2,44.285714285714285
20,10,20,20,3,44.285714285714285
20,20,30,30,1,49.28571428571429
20,20,30,30,2,59.64285714285714
20,20,30,30,3,59.64285714285714
20,30,50,50,1,49.28571428571429
20,30,50,50,2,62.5
20,30,50,50,3,62.5
20,50,100,100,1,47.5
20,50,100,100,2,63.57142857142857
20,50,100,100,3,63.57142857142857
20,100,150,150,1,63.92857142857142
20,100,150,150,2,73.92857142857143
20,100,150,150,3,73.92857142857143
20,150,200,200,1,70.0
20,150,200,200,2,79.64285714285714
20,150,200,200,3,79.64285714285714
20,200,250,250,1,67.5
20,200,250,250,2,78.21428571428571
20,200,250,250,3,78.21428571428571
20,250,300,300,1,75.71428571428571
20,250,300,300,2,83.92857142857143
20,250,300,300,3,83.92857142857143
21,10,20,20,1,36.42857142857142
21,10,20,20,2,46.42857142857143
21,10,20,20,3,46.42857142857143
21,20,30,30,1,52.85714285714286
21,20,30,30,2,60.71428571428571
21,20,30,30,3,60.71428571428571
21,30,50,50,1,51.42857142857142
21,30,50,50,2,62.142857142857146
21,30,50,50,3,62.142857142857146
21,50,100,100,1,46.785714285714285
21,50,100,100,2,58.57142857142858
21,50,100,100,3,58.57142857142858
21,100,150,150,1,63.57142857142857
21,100,150,150,2,75.35714285714286
21,100,150,150,3,75.35714285714286
21,150,200,200,1,67.5
21,150,200,200,2,78.57142857142857
21,150,200,200,3,78.57142857142857
21,200,250,250,1,68.92857142857143
21,200,250,250,2,81.78571428571428
21,200,250,250,3,81.78571428571428
21,250,300,300,1,78.21428571428571
21,250,300,300,2,87.85714285714286
21,250,300,300,3,87.85714285714286
22,10,20,20,1,36.07142857142857
22,10,20,20,2,45.357142857142854
22,10,20,20,3,45.357142857142854
22,20,30,30,1,56.07142857142857
22,20,30,30,2,64.28571428571429
22,20,30,30,3,64.28571428571429
22,30,50,50,1,50.357142857142854
22,30,50,50,2,60.71428571428571
22,30,50,50,3,60.71428571428571
22,50,100,100,1,46.07142857142857
22,50,100,100,2,60.357142857142854
22,50,100,100,3,60.357142857142854
22,100,150,150,1,58.92857142857143
22,100,150,150,2,71.07142857142857
22,100,150,150,3,71.07142857142857
22,150,200,200,1,67.5
22,150,200,200,2,76.78571428571429
22,150,200,200,3,76.78571428571429
22,200,250,250,1,71.78571428571429
22,200,250,250,2,82.85714285714286
22,200,250,250,3,82.85714285714286
22,250,300,300,1,70.0
22,250,300,300,2,80.71428571428572
22,250,300,300,3,80.71428571428572
23,10,20,20,1,35.35714285714286
23,10,20,20,2,49.28571428571429
23,10,20,20,3,49.28571428571429
23,20,30,30,1,51.42857142857142
23,20,30,30,2,62.5
23,20,30,30,3,62.5
23,30,50,50,1,48.214285714285715
23,30,50,50,2,58.92857142857143
23,30,50,50,3,58.92857142857143
23,50,100,100,1,41.785714285714285
23,50,100,100,2,57.49999999999999
23,50,100,100,3,57.49999999999999
23,100,150,150,1,61.42857142857143
23,100,150,150,2,72.14285714285714
23,100,150,150,3,72.14285714285714
23,150,200,200,1,72.5
23,150,200,200,2,81.07142857142857
23,150,200,200,3,81.07142857142857
23,200,250,250,1,68.57142857142857
23,200,250,250,2,81.07142857142857
23,200,250,250,3,81.07142857142857
23,250,300,300,1,71.78571428571429
23,250,300,300,2,79.64285714285714
23,250,300,300,3,79.64285714285714
24,10,20,20,1,43.57142857142857
24,10,20,20,2,51.78571428571429
24,10,20,20,3,51.78571428571429
24,20,30,30,1,58.214285714285715
24,20,30,30,2,67.14285714285714
24,20,30,30,3,67.14285714285714
24,30,50,50,1,52.5
24,30,50,50,2,63.21428571428571
24,30,50,50,3,63.21428571428571
24,50,100,100,1,48.214285714285715
24,50,100,100,2,62.5
24,50,100,100,3,62.5
24,100,150,150,1,58.92857142857143
24,100,150,150,2,72.14285714285714
24,100,150,150,3,72.14285714285714
24,150,200,200,1,71.42857142857143
24,150,200,200,2,79.64285714285714
24,150,200,200,3,79.64285714285714
24,200,250,250,1,73.92857142857143
24,200,250,250,2,81.42857142857143
24,200,250,250,3,81.42857142857143
24,250,300,300,1,75.0
24,250,300,300,2,85.0
24,250,300,300,3,85.0
25,10,20,20,1,41.07142857142857
25,10,20,20,2,50.0
25,10,20,20,3,50.0
25,20,30,30,1,48.92857142857142
25,20,30,30,2,57.49999999999999
25,20,30,30,3,57.49999999999999
25,30,50,50,1,45.0
25,30,50,50,2,58.214285714285715
